ProductID,ProductName,Category,SubCategory,UnitCost
P0001,Laptop 1,Electronics,Laptop,1077
P0002,Laptop 2,Electronics,Laptop,285
P0003,Laptop 3,Electronics,Laptop,3971
P0004,Laptop 4,Electronics,Laptop,1463
P0005,Laptop 5,Electronics,Laptop,4672
P0006,Laptop 6,Electronics,Laptop,4429
P0007,Laptop 7,Electronics,Laptop,3734
P0008,Laptop 8,Electronics,Laptop,4381
P0009,Laptop 9,Electronics,Laptop,128
P0010,Laptop 10,Electronics,Laptop,3963
P0011,Laptop 11,Electronics,Laptop,1227
P0012,Laptop 12,Electronics,Laptop,3933
P0013,Laptop 13,Electronics,Laptop,560
P0014,Laptop 14,Electronics,Laptop,1957
P0015,Laptop 15,Electronics,Laptop,3933
P0016,Laptop 16,Electronics,Laptop,1017
P0017,Laptop 17,Electronics,Laptop,3503
P0018,Laptop 18,Electronics,Laptop,966
P0019,Laptop 19,Electronics,Laptop,3595
P0020,Laptop 20,Electronics,Laptop,325
P0021,Laptop 21,Electronics,Laptop,4626
P0022,Laptop 22,Electronics,Laptop,4294
P0023,Laptop 23,Electronics,Laptop,1009
P0024,Laptop 24,Electronics,Laptop,3950
P0025,Laptop 25,Electronics,Laptop,1366
P0026,Laptop 26,Electronics,Laptop,1163
P0027,Laptop 27,Electronics,Laptop,1761
P0028,Laptop 28,Electronics,Laptop,4980
P0029,Laptop 29,Electronics,Laptop,4917
P0030,Laptop 30,Electronics,Laptop,3247
P0031,Laptop 31,Electronics,Laptop,2158
P0032,Laptop 32,Electronics,Laptop,4041
P0033,Laptop 33,Electronics,Laptop,4117
P0034,Phone 1,Electronics,Phone,1088
P0035,Phone 2,Electronics,Phone,4486
P0036,Phone 3,Electronics,Phone,1721
P0037,Phone 4,Electronics,Phone,4074
P0038,Phone 5,Electronics,Phone,2875
P0039,Phone 6,Electronics,Phone,1957
P0040,Phone 7,Electronics,Phone,430
P0041,Phone 8,Electronics,Phone,3765
P0042,Phone 9,Electronics,Phone,3534
P0043,Phone 10,Electronics,Phone,4684
P0044,Phone 11,Electronics,Phone,968
P0045,Phone 12,Electronics,Phone,157
P0046,Phone 13,Electronics,Phone,1591
P0047,Phone 14,Electronics,Phone,2449
P0048,Phone 15,Electronics,Phone,4581
P0049,Phone 16,Electronics,Phone,222
P0050,Phone 17,Electronics,Phone,4597
P0051,Phone 18,Electronics,Phone,3101
P0052,Phone 19,Electronics,Phone,2982
P0053,Phone 20,Electronics,Phone,3913
P0054,Phone 21,Electronics,Phone,4200
P0055,Phone 22,Electronics,Phone,357
P0056,Phone 23,Electronics,Phone,220
P0057,Phone 24,Electronics,Phone,1490
P0058,Phone 25,Electronics,Phone,2204
P0059,Phone 26,Electronics,Phone,2501
P0060,Phone 27,Electronics,Phone,1690
P0061,Phone 28,Electronics,Phone,1205
P0062,Phone 29,Electronics,Phone,1847
P0063,Phone 30,Electronics,Phone,3337
P0064,Phone 31,Electronics,Phone,1625
P0065,Phone 32,Electronics,Phone,1429
P0066,Phone 33,Electronics,Phone,1095
P0067,Headphones 1,Electronics,Headphones,3300
P0068,Headphones 2,Electronics,Headphones,4892
P0069,Headphones 3,Electronics,Headphones,411
P0070,Headphones 4,Electronics,Headphones,3249
P0071,Headphones 5,Electronics,Headphones,3232
P0072,Headphones 6,Electronics,Headphones,4617
P0073,Headphones 7,Electronics,Headphones,2986
P0074,Headphones 8,Electronics,Headphones,3834
P0075,Headphones 9,Electronics,Headphones,2226
P0076,Headphones 10,Electronics,Headphones,3363
P0077,Headphones 11,Electronics,Headphones,3967
P0078,Headphones 12,Electronics,Headphones,263
P0079,Headphones 13,Electronics,Headphones,3286
P0080,Headphones 14,Electronics,Headphones,3724
P0081,Headphones 15,Electronics,Headphones,3020
P0082,Headphones 16,Electronics,Headphones,643
P0083,Headphones 17,Electronics,Headphones,3679
P0084,Headphones 18,Electronics,Headphones,1069
P0085,Headphones 19,Electronics,Headphones,2114
P0086,Headphones 20,Electronics,Headphones,4835
P0087,Headphones 21,Electronics,Headphones,3087
P0088,Headphones 22,Electronics,Headphones,1263
P0089,Headphones 23,Electronics,Headphones,832
P0090,Headphones 24,Electronics,Headphones,2736
P0091,Headphones 25,Electronics,Headphones,549
P0092,Headphones 26,Electronics,Headphones,1045
P0093,Headphones 27,Electronics,Headphones,3430
P0094,Headphones 28,Electronics,Headphones,2542
P0095,Headphones 29,Electronics,Headphones,1289
P0096,Headphones 30,Electronics,Headphones,3281
P0097,Headphones 31,Electronics,Headphones,695
P0098,Headphones 32,Electronics,Headphones,136
P0099,Headphones 33,Electronics,Headphones,4034
P0100,Keyboard 1,Electronics,Keyboard,179
P0101,Keyboard 2,Electronics,Keyboard,1882
P0102,Keyboard 3,Electronics,Keyboard,1718
P0103,Keyboard 4,Electronics,Keyboard,3081
P0104,Keyboard 5,Electronics,Keyboard,480
P0105,Keyboard 6,Electronics,Keyboard,4381
P0106,Keyboard 7,Electronics,Keyboard,2213
