OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,Sales,Profit
O000001,2024-07-13,C01502,P0154,4,4200.18,0.2,13440.58,3992.58
O000002,2024-03-04,C00933,P0355,4,1363.26,0.0,5453.04,1669.04
O000003,2023-01-23,C00007,P0224,4,3956.03,0.15,13450.5,5518.5
O000004,2024-11-12,C04219,P0308,2,4924.17,0.0,9848.34,1878.34
O000005,2024-09-01,C03973,P0030,1,5364.16,0.05,5095.95,1848.95
O000006,2024-01-16,C00374,P0222,1,5380.2,0.0,5380.2,1343.2
O000007,2024-09-26,C02738,P0172,3,8712.83,0.05,24831.57,11115.57
O000008,2024-08-09,C04840,P0432,1,6877.38,0.2,5501.9,670.9
O000009,2023-06-10,C02731,P0207,1,667.13,0.05,633.77,233.77
O000010,2023-07-31,C03620,P0203,3,7003.77,0.05,19960.74,9271.74
O000011,2023-09-08,C02146,P0266,2,221.77,0.05,421.36,53.36
O000012,2024-01-19,C02508,P0307,3,1612.37,0.05,4595.25,737.25
O000013,2023-04-27,C03420,P0458,3,2864.92,0.0,8594.76,2768.76
O000014,2023-12-12,C04516,P0492,5,4328.77,0.05,20561.66,9216.66
O000015,2023-08-20,C00582,P0391,3,500.29,0.0,1500.87,474.87
O000016,2024-07-27,C03607,P0082,4,1070.41,0.2,3425.31,853.31
O000017,2024-09-30,C03474,P0021,3,8123.78,0.05,23152.77,9274.77
O000018,2023-07-17,C04012,P0362,2,1962.8,0.05,3729.32,1553.32
O000019,2024-02-08,C02647,P0404,2,855.64,0.05,1625.72,433.72
O000020,2023-01-08,C03841,P0406,2,7657.07,0.05,14548.43,5398.43
O000021,2024-07-05,C03208,P0293,5,5357.94,0.2,21431.76,-503.24
O000022,2023-10-04,C02205,P0057,2,1933.96,0.1,3481.13,501.13
O000023,2023-02-28,C00352,P0364,1,1293.46,0.2,1034.77,61.77
O000024,2024-02-07,C03909,P0024,4,7205.04,0.2,23056.13,7256.13
O000025,2024-09-07,C02793,P0476,3,1130.64,0.2,2713.54,952.54
O000026,2023-05-01,C02391,P0288,5,687.54,0.0,3437.7,807.7
O000027,2024-02-16,C00606,P0308,2,5555.81,0.15,9444.88,1474.88
O000028,2023-11-13,C00609,P0098,2,171.39,0.15,291.36,19.36
O000029,2023-03-09,C01887,P0268,5,4776.57,0.05,22688.71,6738.71
O000030,2023-10-02,C00170,P0284,1,6681.17,0.2,5344.94,911.94
O000031,2023-12-17,C00724,P0492,1,3750.85,0.15,3188.22,919.22
O000032,2024-08-23,C00617,P0172,5,9092.73,0.0,45463.65,22603.65
O000033,2023-03-19,C02045,P0347,2,5150.01,0.15,8755.02,1095.02
O000034,2023-08-26,C01293,P0399,2,2060.64,0.1,3709.15,489.15
O000035,2023-10-08,C00511,P0296,4,2623.21,0.15,8918.91,862.91
O000036,2024-10-06,C03177,P0446,4,6852.12,0.2,21926.78,3086.78
O000037,2023-05-26,C04943,P0226,4,842.3,0.0,3369.2,965.2
O000038,2023-05-04,C02082,P0128,1,5145.96,0.15,4374.07,1683.07
O000039,2023-01-28,C04783,P0067,4,6094.84,0.05,23160.39,9960.39
O000040,2024-11-06,C04310,P0263,1,5982.94,0.05,5683.79,2072.79
O000041,2023-05-21,C00851,P0117,5,4800.93,0.1,21604.18,9114.18
O000042,2024-12-23,C00140,P0127,3,282.24,0.05,804.38,126.38
O000043,2023-12-06,C02510,P0287,1,4990.94,0.05,4741.39,749.39
O000044,2023-10-05,C00207,P0006,3,5349.99,0.0,16049.97,2762.97
O000045,2023-04-13,C04116,P0451,2,1061.95,0.05,2017.7,821.7
O000046,2023-09-01,C03337,P0359,5,5373.58,0.1,24181.11,8486.11
O000047,2024-05-11,C02183,P0479,1,5710.12,0.15,4853.6,1315.6
O000048,2023-09-25,C04381,P0041,5,5906.52,0.05,28055.97,9230.97
O000049,2024-01-19,C01549,P0185,4,1526.04,0.05,5798.95,2174.95
O000050,2023-04-06,C01795,P0121,3,553.18,0.05,1576.56,697.56
O000051,2024-10-05,C02251,P0456,5,1619.84,0.1,7289.28,2339.28
O000052,2023-04-23,C02664,P0269,3,3158.03,0.2,7579.27,2197.27
O000053,2023-11-06,C03305,P0370,5,6115.07,0.0,30575.35,7830.35
O000054,2024-03-17,C04314,P0031,5,3423.63,0.0,17118.15,6328.15
O000055,2023-07-23,C04840,P0243,4,2702.56,0.2,8648.19,2316.19
O000056,2024-08-26,C00628,P0247,2,8968.3,0.05,17039.77,7621.77
O000057,2023-12-29,C04844,P0493,5,9751.78,0.15,41445.06,16930.06
O000058,2023-02-28,C00761,P0431,1,4735.59,0.2,3788.47,602.47
O000059,2024-11-12,C00448,P0323,2,5576.82,0.2,8922.91,1346.91
O000060,2023-02-28,C04209,P0136,3,7874.08,0.1,21260.02,9257.02
O000061,2024-01-03,C02061,P0029,5,7212.43,0.2,28849.72,4264.72
O000062,2023-06-25,C00487,P0119,5,1039.57,0.2,4158.28,958.28
O000063,2023-05-19,C03817,P0068,3,8607.85,0.15,21950.02,7274.02
O000064,2024-06-04,C00019,P0053,4,7164.03,0.0,28656.12,13004.12
O000065,2024-11-05,C01082,P0403,3,1114.45,0.05,3176.18,974.18
O000066,2023-11-09,C01105,P0105,5,7987.15,0.1,35942.18,14037.18
O000067,2024-01-18,C03997,P0006,2,8369.97,0.1,15065.95,6207.95
O000068,2023-06-22,C01857,P0058,1,4030.21,0.15,3425.68,1221.68
O000069,2023-12-25,C02377,P0241,5,3657.82,0.05,17374.64,3594.64
O000070,2023-07-07,C03940,P0383,1,1710.18,0.2,1368.14,420.14
O000071,2023-06-22,C03340,P0218,3,1967.17,0.15,5016.28,1707.28
O000072,2024-02-26,C01655,P0386,3,255.48,0.2,613.15,121.15
O000073,2023-07-04,C02122,P0330,2,4808.0,0.1,8654.4,2900.4
O000074,2023-06-16,C00191,P0127,1,287.59,0.05,273.21,47.21
O000075,2023-10-22,C03998,P0275,2,3497.45,0.0,6994.9,3384.9
O000076,2023-01-12,C04424,P0343,5,6644.82,0.2,26579.28,6549.28
O000077,2024-02-08,C01243,P0180,1,8339.4,0.15,7088.49,2137.49
O000078,2023-02-10,C03999,P0044,2,1805.49,0.15,3069.33,1133.33
O000079,2023-09-26,C01700,P0322,2,5301.91,0.0,10603.82,3663.82
O000080,2024-08-17,C00291,P0129,3,3672.7,0.0,11018.1,5102.1
O000081,2023-03-10,C00557,P0299,3,4387.21,0.05,12503.55,3980.55
O000082,2023-01-20,C03341,P0492,4,4240.22,0.0,16960.88,7884.88
O000083,2023-03-28,C04499,P0018,2,1634.1,0.0,3268.2,1336.2
O000084,2023-07-25,C04613,P0337,5,448.47,0.1,2018.12,388.12
O000085,2023-06-14,C03402,P0119,5,1085.02,0.05,5153.84,1953.84
O000086,2023-03-30,C04376,P0148,3,1575.64,0.0,4726.92,2197.92
O000087,2024-12-12,C02468,P0212,5,445.01,0.0,2225.05,610.05
O000088,2024-06-25,C02709,P0374,1,3527.96,0.0,3527.96,1230.96
O000089,2023-11-25,C02486,P0263,2,5666.1,0.0,11332.2,4110.2
O000090,2024-12-02,C03756,P0490,4,7005.69,0.0,28022.76,8354.76
O000091,2024-04-30,C02956,P0184,4,7925.24,0.0,31700.96,14700.96
O000092,2023-10-16,C04400,P0162,4,6782.87,0.15,23061.76,8753.76
O000093,2023-01-11,C02259,P0426,2,6157.89,0.1,11084.2,4114.2
O000094,2024-04-19,C02154,P0135,1,5285.56,0.05,5021.28,1833.28
O000095,2023-04-03,C01790,P0425,2,2193.53,0.15,3729.0,503.0
O000096,2023-08-17,C03243,P0148,4,1568.76,0.05,5961.29,2589.29
O000097,2024-02-25,C02769,P0087,1,4212.12,0.05,4001.51,914.51
O000098,2023-09-23,C03111,P0379,1,2427.15,0.2,1941.72,-64.28
O000099,2023-11-03,C03669,P0160,3,7506.74,0.15,19142.19,6419.19
O000100,2024-02-03,C02777,P0196,2,495.54,0.0,991.08,483.08
O000101,2023-04-30,C04700,P0463,3,2239.21,0.1,6045.87,1317.87
O000102,2024-04-26,C00402,P0078,2,412.33,0.15,700.96,174.96
O000103,2024-03-06,C01152,P0154,4,3823.34,0.15,12999.36,3551.36
O000104,2023-09-15,C03899,P0445,1,2953.71,0.05,2806.02,885.02
O000105,2023-02-16,C04632,P0433,5,2771.64,0.2,11086.56,1421.56
O000106,2024-04-29,C02462,P0476,3,1117.65,0.0,3352.95,1591.95
O000107,2024-06-07,C04434,P0194,3,3697.89,0.0,11093.67,5213.67
O000108,2024-05-21,C00715,P0277,5,5255.7,0.0,26278.5,9358.5
O000109,2023-06-26,C04066,P0436,5,2384.59,0.05,11326.8,4281.8
O000110,2023-06-22,C02889,P0436,3,2476.83,0.0,7430.49,3203.49
O000111,2023-11-12,C02639,P0444,3,7455.21,0.15,19010.79,5441.79
O000112,2024-05-23,C01623,P0354,3,7357.83,0.0,22073.49,9926.49
O000113,2024-03-14,C04481,P0018,2,1328.46,0.1,2391.23,459.23
O000114,2024-02-03,C01010,P0417,3,775.17,0.2,1860.41,594.41
O000115,2023-01-12,C04165,P0374,5,3225.96,0.2,12903.84,1418.84
O000116,2024-07-02,C01791,P0400,2,4990.87,0.1,8983.57,2271.57
O000117,2023-05-21,C02938,P0211,3,1675.93,0.15,4273.62,1474.62
O000118,2023-10-15,C01575,P0169,4,4496.11,0.0,17984.44,7068.44
O000119,2024-03-20,C04103,P0298,4,764.21,0.2,2445.47,161.47
O000120,2023-01-04,C02427,P0034,3,1360.63,0.0,4081.89,817.89
O000121,2023-12-12,C00210,P0215,5,882.67,0.2,3530.68,530.68
O000122,2023-06-28,C02100,P0054,3,6658.54,0.1,17978.06,5378.06
O000123,2023-08-29,C00103,P0216,1,6347.09,0.1,5712.38,1516.38
O000124,2023-01-17,C01964,P0125,3,6534.23,0.2,15682.15,4936.15
O000125,2024-05-03,C01181,P0021,1,7703.4,0.05,7318.23,2692.23
O000126,2023-02-21,C03114,P0242,5,4871.79,0.15,20705.11,1405.11
O000127,2023-04-07,C01127,P0133,3,4959.09,0.15,12645.68,3294.68
O000128,2024-06-19,C04529,P0040,3,592.41,0.2,1421.78,131.78
O000129,2023-02-22,C02873,P0238,3,990.19,0.15,2524.98,433.98
O000130,2024-07-09,C04692,P0080,4,6636.89,0.0,26547.56,11651.56
O000131,2024-03-01,C02663,P0443,4,268.07,0.1,965.05,393.05
O000132,2023-05-15,C02673,P0083,3,7052.19,0.15,17983.08,6946.08
O000133,2024-07-20,C03649,P0341,4,2354.24,0.15,8004.42,2784.42
O000134,2024-12-11,C01064,P0442,1,6945.02,0.1,6250.52,1602.52
O000135,2024-09-15,C03351,P0239,1,4153.64,0.2,3322.91,751.91
O000136,2023-06-02,C04321,P0140,5,3045.03,0.0,15225.15,2815.15
O000137,2024-08-13,C01830,P0161,4,7734.0,0.05,29389.2,9813.2
